id,name_th,name_en,province_id
755,ชะอำ,ชะอำ,76
756,ท่ายาง,ท่ายาง,76
757,เขาย้อย,เขาย้อย,76
758,บ้านลาด,บ้านลาด,76
759,หนองหญ้าปล้อง,หนองหญ้าปล้อง,76
760,แก่งกระจาน,แก่งกระจาน,76
761,เมืองประจวบคีรีขันธ์,เมืองประจวบคีรีขันธ์,77
762,หัวหิน,หัวหิน,77
763,ปราณบุรี,ปราณบุรี,77
764,สามร้อยยอด,สามร้อยยอด,77
765,ทับสะแก,ทับสะแก,77
766,บางสะพาน,บางสะพาน,77
767,กุยบุรี,กุยบุรี,77
768,บางสะพานน้อย,บางสะพานน้อย,77
769,พระพรหม,พระพรหม,80
770,เมืองนครศรีธรรมราช,เมืองนครศรีธรรมราช,80
771,ทุ่งสง,ทุ่งสง,80
772,สิชล,สิชล,80
773,จุฬาภรณ์,จุฬาภรณ์,80
774,ร่อนพิบูลย์,ร่อนพิบูลย์,80
775,ปากพนัง,ปากพนัง,80
776,ฉวาง,ฉวาง,80
777,ท่าศาลา,ท่าศาลา,80
778,นบพิตำ,นบพิตำ,80
779,หัวไทร,หัวไทร,80
780,ชะอวด,ชะอวด,80
781,เฉลิมพระเกียรติ,เฉลิมพระเกียรติ,80
782,เชียรใหญ่,เชียรใหญ่,80
783,ขนอม,ขนอม,80
784,นาบอน,นาบอน,80
785,ลานสกา,ลานสกา,80
786,ทุ่งใหญ่,ทุ่งใหญ่,80
787,ช้างกลาง,ช้างกลาง,80
788,ถ้ำพรรณรา,ถ้ำพรรณรา,80
789,พิปูน,พิปูน,80
790,พรหมคีรี,พรหมคีรี,80
791,บางขัน,บางขัน,80
792,เกาะลันตา,เกาะลันตา,81
793,เขาพนม,เขาพนม,81
794,เมืองกระบี่,เมืองกระบี่,81
795,เหนือคลอง,เหนือคลอง,81
796,คลองท่อม,คลองท่อม,81
797,ปลายพระยา,ปลายพระยา,81
798,ลำทับ,ลำทับ,81
799,อ่าวลึก,อ่าวลึก,81
800,เมืองพังงา,เมืองพังงา,82
801,ตะกั่วป่า,ตะกั่วป่า,82
802,ท้ายเหมือง,ท้ายเหมือง,82
803,ตะกั่วทุ่ง,ตะกั่วทุ่ง,82
804,คุระบุรี,คุระบุรี,82
805,เกาะยาว,เกาะยาว,82
806,กะปง,กะปง,82
807,ทับปุด,ทับปุด,82
808,เมืองภูเก็ต,เมืองภูเก็ต,83
809,ถลาง,ถลาง,83
810,กะทู้,กะทู้,83
811,เมืองสุราษฎร์ธานี,เมืองสุราษฎร์ธานี,84
812,ไชยา,ไชยา,84
813,บ้านนาสาร,บ้านนาสาร,84
814,พุนพิน,พุนพิน,84
815,เกาะสมุย,เกาะสมุย,84
816,ท่าฉาง,ท่าฉาง,84
817,กาญจนดิษฐ์,กาญจนดิษฐ์,84
818,ดอนสัก,ดอนสัก,84
819,ท่าชนะ,ท่าชนะ,84
820,คีรีรัฐนิคม,คีรีรัฐนิคม,84
821,เวียงสระ,เวียงสระ,84
822,พระแสง,พระแสง,84
823,เคียนซา,เคียนซา,84
824,บ้านตาขุน,บ้านตาขุน,84
825,บ้านนาเดิม,บ้านนาเดิม,84
826,พนม,พนม,84
827,เกาะพะงัน,เกาะพะงัน,84
828,ชัยบุรี,ชัยบุรี,84
829,วิภาวดี,วิภาวดี,84
830,เมืองระนอง,เมืองระนอง,85
831,กระบุรี,กระบุรี,85
832,กะเปอร์,กะเปอร์,85
833,สุขสำราญ,สุขสำราญ,85
834,ละอุ่น,ละอุ่น,85
835,เมืองชุมพร,เมืองชุมพร,86
836,หลังสวน,หลังสวน,86
837,สวี,สวี,86
838,ท่าแซะ,ท่าแซะ,86
839,ปะทิว,ปะทิว,86
840,ละแม,ละแม,86
841,พะโต๊ะ,พะโต๊ะ,86
842,ทุ่งตะโก,ทุ่งตะโก,86
843,เมืองสงขลา,เมืองสงขลา,90
844,บางกล่ำ,บางกล่ำ,90
845,หาดใหญ่,หาดใหญ่,90
846,คลองหอยโข่ง,คลองหอยโข่ง,90
847,สะเดา,สะเดา,90
848,จะนะ,จะนะ,90
849,ระโนด,ระโนด,90
850,เทพา,เทพา,90
851,นาทวี,นาทวี,90
852,รัตภูมิ,รัตภูมิ,90
853,สทิงพระ,สทิงพระ,90
854,สะบ้าย้อย,สะบ้าย้อย,90
855,ควนเนียง,ควนเนียง,90
856,กระแสสินธุ์,กระแสสินธุ์,90
857,สิงหนคร,สิงหนคร,90
858,นาหม่อม,นาหม่อม,90
859,เมืองสตูล,เมืองสตูล,91
860,ละงู,ละงู,91
861,ทุ่งหว้า,ทุ่งหว้า,91
862,ควนกาหลง,ควนกาหลง,91
863,มะนัง,มะนัง,91
864,ท่าแพ,ท่าแพ,91
865,ควนโดน,ควนโดน,91
866,วังวิเศษ,วังวิเศษ,92
867,สิเกา,สิเกา,92
868,เมืองตรัง,เมืองตรัง,92
869,กันตัง,กันตัง,92
870,ปะเหลียน,ปะเหลียน,92
871,หาดสำราญ,หาดสำราญ,92
872,รัษฎา,รัษฎา,92
873,ห้วยยอด,ห้วยยอด,92
874,ย่านตาขาว,ย่านตาขาว,92
875,นาโยง,นาโยง,92
876,กงหรา,กงหรา,93
